name_en,name_tr,primary_muscle,secondary_muscles,equipment,is_bodyweight,is_unilateral
Hanging Leg Raise,Asılı Bacak Kaldırma,CORE,FOREARMS,BODYWEIGHT,1,0
Hanging Knee Raise,Asılı Diz Çekme,CORE,,BODYWEIGHT,1,0
Cable Crunch,Kablo Crunch,CORE,,CABLE,0,0
Crunch,Mekik,CORE,,BODYWEIGHT,1,0
Russian Twist,Rus Twist,CORE,,BODYWEIGHT,1,0
Ab Wheel Rollout,Ab Wheel,CORE,,OTHER,0,0
Dead Bug,Dead Bug,CORE,,BODYWEIGHT,1,0
Mountain Climber,Mountain Climber,CORE,CARDIO,BODYWEIGHT,1,0
Back Extension,Bel Ekstansiyonu,CORE,"GLUTES,HAMSTRINGS",BODYWEIGHT,1,0
Pallof Press,Pallof Press,CORE,,CABLE,0,1
Treadmill Run,Koşu Bandı,CARDIO,,MACHINE,0,0
Treadmill Incline Walk,Eğimli Yürüyüş,CARDIO,,MACHINE,0,0
Stationary Bike,Kondisyon Bisikleti,CARDIO,,MACHINE,0,0
Elliptical,Eliptik,CARDIO,,MACHINE,0,0
Rowing Machine,Kürek Makinesi,CARDIO,BACK,MACHINE,0,0
Stair Climber,Merdiven Makinesi,CARDIO,,MACHINE,0,0
Jump Rope,İp Atlama,CARDIO,CALVES,OTHER,1,0
Burpee,Burpee,CARDIO,FULL_BODY,BODYWEIGHT,1,0
Kettlebell Swing,Kettlebell Swing,GLUTES,"HAMSTRINGS,CORE",KETTLEBELL,0,0
Kettlebell Goblet Squat,Kettlebell Goblet Squat,QUADS,GLUTES,KETTLEBELL,0,0
Turkish Get-up,Turkish Get-up,FULL_BODY,"CORE,SHOULDERS",KETTLEBELL,0,1
Clean and Press,Clean and Press,FULL_BODY,"SHOULDERS,QUADS",BARBELL,0,0
Power Clean,Power Clean,FULL_BODY,"BACK,QUADS",BARBELL,0,0
Thruster,Thruster,FULL_BODY,"SHOULDERS,QUADS",BARBELL,0,0
Band Pull-apart,Lastik Pull-apart,SHOULDERS,BACK,BAND,0,0
Band Face Pull,Lastik Face Pull,SHOULDERS,BACK,BAND,0,0
Assisted Pull-up,Destekli Barfiks,BACK,BICEPS,MACHINE,0,0
Smith Machine Squat,Smith Squat,QUADS,GLUTES,MACHINE,0,0
Smith Machine Bench Press,Smith Bench Press,CHEST,TRICEPS,MACHINE,0,0
Landmine Press,Landmine Press,SHOULDERS,"CHEST,TRICEPS",BARBELL,0,1
Chest Dip Machine,Dips Makinesi,CHEST,TRICEPS,MACHINE,0,0
Cable Pull Through,Kablo Pull Through,GLUTES,HAMSTRINGS,CABLE,0,0
Zercher Squat,Zercher Squat,QUADS,"CORE,GLUTES",BARBELL,0,0
Sissy Squat,Sissy Squat,QUADS,,BODYWEIGHT,1,0
Reverse Lunge,Geri Lunge,QUADS,GLUTES,DUMBBELL,0,1
Single Leg Press,Tek Bacak Leg Press,QUADS,GLUTES,MACHINE,0,1
Machine Row,Makine Row,BACK,BICEPS,MACHINE,0,0
Meadows Row,Meadows Row,BACK,BICEPS,BARBELL,0,1
